Item,Planned,Completed,Annotation
"Goal 1",0,100,Completed January 18th
"Goal 2",0,0,
"Goal 3",0,0,
"Goal rtyuiohgf sdcvbn tyuiop[]'yuiohgf sdcvbohgf sdcvbn tyuiop[]'yuiohgf sdcvbn tyuiop[]'ií;l,./4",0,0,
"Goal 5",0,0,
"Goal 6",0,0,
"Goal 7",0,0,
"Goal 8",0,0,
"Goal 9",0,0,
"Goal 10",0,0,
"Goal 11",0,0,
"Goal 12",0,0,
"FREE SPACE",0,100,
"Goal 14",0,0,
"Goal 15",0,0,
"Goal 16",0,0,
"Goal 17",0,0,
"Goal 18",0,0,
"Goal 19",0,0,
"Goal 20",0,0,
"Goal 21",0,0,
"Goal 22",0,0,
"Goal 23",0,0,
"Goal 24",0,0,
"Goal 25",0,0,

